ID;Title;Directions;Ingredient;Image
1;Blue Cheese Dressing;Mix or shake well.;blue cheese - buttermilk - mayonnaise - white sauterne wine - garlic powder - accent seasoning mix ;https://www.everydayeileen.com/wp-content/uploads/2019/12/homemade-blue-cheese-dressing1.jpg
2;Broccoli Salad;Pour dressing over salad two hours before serving.;broccoli florets, bite size - mozzarella cheese, shredded - red onion, chopped - crisp bacon, crumbled - mayonnaise - sugar - vinegar;https://www.allrecipes.com/thmb/pOzFZwZuvW-e9UUwGz6_3-9aX00=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/14280-FreshBroccoliSalad-mfs-00940-59a0e37c787d4ddebb4097fd910e8a36.jpg
3;Broccoli Salad with Pineapple;Cut broccoli flowers.  Chop the top 2 inches of the stems into small pieces.  Mix together broccoli, crisp bacon, drained pineapple, onion, and sunflower seeds.  Blend mayonnaise, sugar, and vinegar to make dressing.  Pour over top of broccoli mixture.  Toss and serve.  Note:  This salad is also great with sliced raw carrots and cauliflower.;bacon, but small, fry until crisp - broccoli - crushed pineapple, well drained -  red onion, chopped fine - sunflower seeds - mayonnaise - sugar - ;https://stephaniesain.com/wp-content/uploads/2021/03/Broccoli-Pineapple-Salad.jpg
4;Carrot Carousel;Sprinkle gelatine over 1/2 cup of cold orange juice in blender container that will hold 5 cups.  Add boiling orange juice;Knox Unflavored Gelatin - cold orange juice, divided - boiling orange juice - salt - salad dressing - carrot pieces - crushed pineapple - ;https://realfood.tesco.com/media/images/Hasselback-carrots-LGH-mini-72e89a5f-0423-4f7e-b7f8-afc96409ab87-0-1400x919.jpg
5;Coleslaw;Shred cabbage.  Mix remaining ingredients to make dressing.  Stir together.;cabbage - mayonnaise - sour cream - vinegar - sugar - horseradish - salt and pepper - caraway seed (optional);https://static.750g.com/images/1200-675/b79762f98c53aaba1e21b87c7d9989df/coleslaw-inratable.jpeg
6;Cranberry Mold;Mix jello with hot water.  Jell slightly then add cranberry sauce, sour cream, and nuts.  Mix and chill until set.;hot water - cherry jello, or 1 large - whole cranberry sauce - sour cream - nuts, chopped;https://plowingthroughlife.com/wp-content/uploads/2021/11/Cranberry-Mold-FI-500x375.jpeg
7;Cucumbers in Sour Cream;Stir together.  Refrigerate 30 minutes.;cucumbers, sliced - salt - pepper - chives or scallions, minced - sour cream - lemon juice;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3GsgAtfFHbLizKwCxSkUDi0Uym5kCEEn21Q&usqp=CAU
8;Five Bean Salad;Drain beans and stir together.  Mix ingredients for dressing.  Combine dressing and beans.;green beans - wax beans - kidney beans - garbanzo beans - bean sprouts - red onion, sliced - sugar - vinegar -oil;https://cleanfoodcrush.com/wp-content/uploads/2019/11/Clean-Eats-Homemade-Five-Bean-Salad.jpg
9;Five Cup Salad;Combine all ingredients.  Chill overnight.;pineapple chunks - mandarin oranges - coconut - marshmallows - sour cream;https://flyingcdn-d6f45b.b-cdn.net/wp-content/uploads/2021/03/Ambrosia-Salad-Recipe-720x720.jpg?width=800
10;Garden Vegetable Pasta;Cut vegetables into birte size pieces.  Cook 5 minutes, until fork tender.  Rinse with cold water.  Cook and chill pasta.  Toss all with Italian Dressing.;asparagus - broccoli - cauliflower - green onions - radishes - peeled tomato - avacado - fresh mushrooms -pasta - Italian Dressing;https://www.wholesomelicious.com/wp-content/uploads/2021/02/Vegetable-Garden-Pasta-Picture4.jpg
11;Green Bean Salad;Mix oil, vinegar, onion, and lemon.  Pour over beans.  Chill 3 hour or longer.  Spoon beans onto lettuce with slotted spoon.  Top with crumbled blue cheese and coarsely chopped walnuts;fresh beans - salad oil - white vinegar - red onion, chopped - grated lemon rind - blue cheese - walnuts, chopped;https://carlsbadcravings.com/wp-content/uploads/2019/10/green-bean-salad-3-1.jpg
12;Heavenly Cheese Salad;Bring juice to a boil, pour over jello.  Cool.  Mix pineapple, nuts, and cheese.  Add to jello.  Fold in whipped cream.  Pour into mold.  Chill.;lemon jello - pineapple juice + water - crushed pineapple - cream cheese - walnuts, chopped - whipped cream;https://resources.stuff.co.nz/content/dam/images/4/y/r/w/1/2/image.related.StuffLandscapeSixteenByNine.710x400.4yrw06.png/1617918583633.jpg?format=pjpg&optimize=medium
13;Horseradish Dressing;Combine all ingredients in blender or food processor.;horseradish - mayonnaise - sour cream - buttermilk - oil - onion powder - salt - pepper -kelp - vinegar;https://www.jessicagavin.com/wp-content/uploads/2021/12/horseradish-sauce-4-1200.jpg
14;Lemon Cloud Salad;Set jello with 1/2 c. less water than package instructions.  When partially set stir in Dream Whip.  Add fruits.  Set several hours to chill.;lemon jello - mandarin oranges - pineapple tidbits - bananas, sliced - Dream Whip;https://i.pinimg.com/originals/de/06/69/de066957ac2b9c573af9722ca3467156.jpg
15;Lima Bean Salad;Thoroughly mix vinegar, vegetable oil, and salt.  Cook beans until tender, drain and rinse under cold water.  Add other ingredients and toss.  Chill in refrigerator for 1-2 hours.;frozen lima beans - fresh mushrooms, sliced - green onions, sliced - parsley, choped - oregano - vegetable oil - salt - pepper -garlic, crushed;https://assets.bonappetit.com/photos/57ae0aa01b334044149759b2/master/pass/three-bean-salad-646.jpg
